id,name
1,Steve McQueen
2,James Garner
3,Richard Attenborough
4,Jack Nicholson
5,Louise Fletcher
6,Michael Berryman
7,Daveigh Chase
8,Suzanne Pleshette
9,Miyu Irino
10,Sigourney Weaver
11,Michael Biehn
12,Carrie Henn
13,Henry Fonda
14,Lee J. Cobb
15,Darío Grandinetti
16,Martin Balsam
17,María Marull
18,Mónica Villa
19,Liam Neeson
20,Ralph Fiennes
21,Ben Kingsley
22,John Travolta
23,Uma Thurman
24,Samuel L. Jackson
25,Toshirô Mifune
26,Machiko Kyô
27,Masayuki Mori
28,Leonardo DiCaprio
29,Jonah Hill
30,Margot Robbie
31,Chieko Baishô
32,Takuya Kimura
33,Tatsuya Gashûin
34,Jürgen Prochnow
35,Herbert Grönemeyer
36,Marilyn Monroe
37,Tony Curtis
38,Julie Andrews
39,Jack Lemmon
40,Christopher Plummer
41,Klaus Wennemann
42,Eleanor Parker
43,Manoj Bajpayee
44,Nawazuddin Siddiqui
45,Tigmanshu Dhulia
46,Charles Chaplin
47,Paulette Goddard
48,Jack Oakie
49,James Stewart
50,Donna Reed
51,Lionel Barrymore
52,Anthony Perkins
53,Janet Leigh
54,Vera Miles
55,Ajay Devgn
56,Shriya Saran
57,Tabu
58,Keir Dullea
59,Gary Lockwood
60,William Sylvester
61,William H. Macy
62,Frances McDormand
63,Steve Buscemi
64,Henry Bergman
65,Victor Sjöström
66,Bibi Andersson
67,Ingrid Thulin
68,Ricardo Darín
69,Soledad Villamil
70,Pablo Rago
71,Song Kang-ho
72,Clark Gable
73,Charles Bronson
74,Kim Sang-kyung
75,Vivien Leigh
76,Claudia Cardinale
77,Kim Roe-ha
78,Thomas Mitchell
79,Michael J. Fox
80,Christopher Lloyd
81,Lea Thompson
82,Choi Min-sik
83,Yoo Ji-tae
84,Kang Hye-jeong
85,Jim Carrey
86,Ed Harris
87,Laura Linney
88,Malcolm McDowell
89,Patrick Magee
90,Michael Bates
91,Tom Hardy
92,Nick Nolte
93,Joel Edgerton
94,Ethan Hawke
95,Julie Delpy
96,Vernon Dobtcheff
97,Don Cheadle
98,Sophie Okonedo
99,Aleksey Kravchenko
100,Jason Schwartzman
101,Joaquin Phoenix
102,Al Pacino
103,Bruno Ganz
104,Brigitte Helm
105,Alfred Abel
106,Guy Pearce
107,Robert Downey Jr.
108,Alexandra Maria Lara
109,Mark Hamill
110,Robert De Niro
111,Olga Mironova
112,Johnny Depp
113,Hugo Weaving
114,Tom Holland
115,J.K. Simmons
116,Rashida Jones
117,Harrison Ford
118,Reza Naji
119,Liubomiras Laucevicius
120,Chishû Ryû
121,Chris Hemsworth
122,Geoffrey Rush
123,Natalie Portman
124,Zendaya
125,Emily Mortimer
126,Clint Eastwood
127,Matt Damon
128,Robert Duvall
129,Amir Farrokh Hashemian
130,Humphrey Bogart
131,Ulrich Matthes
132,Rupert Graves
133,Gustav Fröhlich
134,Eli Wallach
135,Lee Van Cleef
136,Carrie Fisher
137,Christian Bale
138,Jon Bernthal
139,Bahare Seddiqi
140,Martin Sheen
141,Richard Gere
142,Mark Ruffalo
143,Hitoshi Takagi
144,Orlando Bloom
145,Ewan McGregor
146,Amy Poehler
147,Maria Falconetti
148,Mark Ruffalo
149,Harvey Keitel
150,Mark Ruffalo
151,Michael Keaton
152,Rachel McAdams
153,Shameik Moore
154,Ray Liotta
155,Morgan Freeman
156,Lubna Azabal
157,Marlon Brando
158,David Carradine
159,Tom Hanks
160,Tim Allen
161,Eugene Silvain
162,André Berley
163,Anthony Gonzalez
164,Toni Collette
165,Philip Seymour Hoffman
166,Max von Sydow
167,Gunnar Björnstrand
168,Takashi Shimura
169,Elijah Wood
170,Joe Pesci
171,Bill Murray
172,Andie MacDowell
173,Chris Elliott
174,Joan Allen
175,Noriko Hidaka
176,Ewen Bremner
177,Bruce Willis
178,Joan Cusack
179,Benedict Cumberbatch
180,Eijirô Tôno
181,Tim Roth
182,Carrie-Anne Moss
183,Fred MacMurray
184,Ian McKellen
185,Çetin Tekindor
186,Chieko Higashiyama
187,Walter Huston
188,Cary-Hiroyuki Tagawa
189,Chika Sakamoto
190,Gael García Bernal
191,Michael Madsen
192,Joe Pantoliano
193,Bengt Ekerot
194,Craig T. Nelson
195,Keiko Tsushima
196,Miles Teller
197,Melissa Benoist
198,Tim Holt
199,Bill Hader
200,Jonny Lee Miller
201,Peter Lorre
202,Alan Rickman
203,Karl Malden
204,Tatsuya Nakadai
205,Kate Winslet
206,Barbara Stanwyck
207,Fikret Kuskan
208,Hümeyra
209,Natsuki Hanae
210,Ellen Widmann
211,Inge Landgut
212,Eric Bana
213,Hailee Steinfeld
214,Edward G. Robinson
215,Brad Pitt
216,Kevin Spacey
217,Daryl Hannah
218,Edna Purviance
219,Benjamin Bratt
220,Brian Tyree Henry
221,Mélissa Désormeaux-Poulin
222,Maxim Gaudette
223,Lewis Black
224,Jackie Coogan
225,Bonnie Bedelia
226,Tom Wilkinson
227,Sô Yamamura
228,Akari Kitô
229,Holly Hunter
230,Yoshitsugu Matsuoka
231,Mack Swain
232,Tyrone Power
233,Tom Murray
234,Marlene Dietrich
235,Charles Laughton
236,Kim Novak
237,Barbara Bel Geddes
238,Albert Brooks
239,Ellen DeGeneres
240,Alexander Gould
241,Aamir Khan
242,Sakshi Tanwar
243,Fatima Sana Shaikh
244,Virginia Cherrill
245,Hilary Swank
246,Florence Lee
247,Mads Mikkelsen
248,Thomas Bo Larsen
249,Hugh Jackman
250,Scarlett Johansson
251,Annika Wedderkopp
252,Faye Dunaway
253,Arnold Schwarzenegger
254,Lupita Nyong'o
255,Jodie Foster
256,William Holden
257,Linda Hamilton
258,Pedro Pascal
259,Robin Wright
260,Peter Finch
261,Jay Baruchel
262,Cybill Shepherd
263,Kit Connor
264,Gary Sinise
265,Christopher Walken
266,Gerard Butler
267,Christopher Mintz-Plasse
268,Chris Evans
269,Paul Newman
270,Matthew McConaughey
271,James Caan
272,John Cazale
273,Robert Redford
274,Anne Hathaway
275,Jessica Chastain
276,Robert Shaw
277,Gian Maria Volontè
278,Patrick Stewart
279,Dafne Keen
280,Andrea Eckert
281,Zazie Beetz
282,Viggo Mortensen
283,Keanu Reeves
284,Laurence Fishburne
285,Lin-Manuel Miranda
286,Phillipa Soo
287,F. Murray Abraham
288,Tom Hulce
289,Orson Welles
290,Leslie Odom Jr.
291,Kurt Russell
292,Jeff Bridges
293,Wilford Brimley
294,John Goodman
295,Elizabeth Berridge
296,Joseph Cotten
297,Keith David
298,Julianne Moore
299,Alida Valli
300,Tim Robbins
301,Bob Gunton
302,Cillian Murphy
303,Emily Blunt
304,Eli Marienthal
305,Harry Connick Jr.
306,Jennifer Aniston
307,Edward Norton
308,Edward Furlong
309,Anthony Hopkins
310,Beverly D'Angelo
311,John Hurt
312,Mahershala Ali
313,Anne Bancroft
314,Linda Cardellini
315,Brahim Hadjadj
316,Jean Martin
317,Yacef Saadi
318,Brie Larson
319,Jacob Tremblay
320,Kirk Douglas
321,Ralph Meeker
322,Adolphe Menjou
323,Gregory Peck
324,John Megna
325,Frank Overton
326,Andrew Garfield
327,Sam Worthington
328,Robin Williams
329,Luke Bracey
330,Dean-Charles Chapman
331,Ben Affleck
332,George MacKay
333,Daniel Mays
334,Alexandre Rodrigues
335,Leandro Firmino
336,Matheus Nachtergaele
337,Matthew Modine
338,R. Lee Ermey
339,Vincent D'Onofrio
340,Joseph Gordon-Levitt
341,Elliot Page
342,Yôji Matsuda
343,Yuriko Ishida
344,Yûko Tanaka
345,Bee Vang
346,Jake Johnson
347,Christopher Carley
348,Timothée Chalamet
349,Rebecca Ferguson
350,Saori Hayami
351,Kim Min-hee
352,Ha Jung-woo
353,Billy Crystal
354,Aoi Yûki
355,Cho Jin-woong
356,Haley Joel Osment
357,Emile Hirsch
358,Mary Gibbs
359,Vikrant Massey
360,Vince Vaughn
361,Viola Davis
362,Jason Statham
363,Sam Neill
364,Judy Garland
365,Medha Shankr
366,Catherine Keener
367,Frank Morgan
368,Anant Joshi
369,Stephen Graham
370,Emma Stone
371,Tom Cruise
372,Charlton Heston
373,Laura Dern
374,Yutaka Sada
375,Octavia Spencer
376,Russell Crowe
377,Jennifer Connelly
378,Madhavan
379,Payman Maadi
380,Jack Hawkins
381,Ray Bolger
382,Tom Sizemore
383,Grace Kelly
384,Mona Singh
385,Jeff Goldblum
386,Cathy Moriarty
387,Leila Hatami
388,Shelley Duvall
389,Wendell Corey
390,Sareh Bayat
391,Stephen Boyd
392,Danny Lloyd
393,Shirley MacLaine
394,Gabriel Byrne
395,Chazz Palminteri
396,Karen Allen
397,Paul Freeman
398,Jamie Foxx
399,Christoph Waltz
400,Tom Skerritt
401,Darsheel Safary
402,Tisca Chopra
403,Ben Burtt
404,Elissa Knight
405,Jeff Garlin
406,Scott Glenn
407,Edward Asner
408,Jordan Nagai
409,John Ratzenberger
410,Ryûnosuke Kamiki
411,Mone Kamishiraishi
412,Olivia Colman
413,Ryo Narita
414,Mark Gatiss
415,Gloria Swanson
416,Erich von Stroheim
417,Vijay Sethupathi
418,Anurag Kashyap
419,Jean Arthur
420,Mamta Mohandas
421,Claude Rains
422,Vincent Cassel
423,Hubert Koundé
424,Saïd Taghmaoui
425,Connie Nielsen
426,Philippe Noiret
427,Roy Scheider
428,Enzo Cannavale
429,Antonella Attili
430,Richard Dreyfuss
431,Jean Reno
432,Luigi Lo Cascio
433,Buster Keaton
434,Sean Connery
435,Marion Mack
436,Alessio Boni
437,Gary Oldman
438,Alison Doody
439,Michelle Pfeiffer
440,Glen Cavender
441,Tommy Lee Jones
442,Jasmine Trinca
443,Bette Davis
444,Sylvester Stallone
445,Talia Shire
446,Anne Baxter
447,Javier Bardem
448,Graham Chapman
449,Steven Bauer
450,Chiwetel Ejiofor
451,Myrna Loy
452,Dana Andrews
453,Fredric March
454,John Cleese
455,Eric Idle
456,George Sanders
457,Michael Kenneth Williams
458,Josh Brolin
459,Alec Guinness
460,Don Rickles
461,Michael Fassbender
462,Michael Clarke Duncan
463,Tsutomu Tatsumi
464,Annette Bening
465,Burt Young
466,David Morse
467,Ayano Shiraishi
468,Thora Birch
469,Lamberto Maggiorani
470,Dorothy Comingore
471,Kathryn McGuire
472,Enzo Staiola
473,John Huston
474,Akemi Yamaguchi
475,Lianella Carell
476,Joe Keaton
477,James Woods
478,Elizabeth McGovern
479,Heath Ledger
480,Aaron Eckhart
481,Charlie Sheen
482,Tom Berenger
483,Willem Dafoe
484,Ingrid Bergman
485,Paul Henreid
486,Jane Darwell
487,John Carradine
488,Akira Terao
489,Jinpachi Nezu
490,Nobuo Kaneko
491,Jason Flemyng
492,Shin'ichi Himori
493,Dexter Fletcher
494,Peter Sellers
495,Spencer Tracy
496,Suriya
497,Nick Moran
498,George C. Scott
499,Wil Wheaton
500,Lijo Mol Jose
501,Cary Grant
502,Eva Marie Saint
503,River Phoenix
504,Corey Feldman
505,Michael Caine
506,Ken Watanabe
507,Ryan O'Neal
508,James Mason
509,Ivana Baquero
510,Ariadna Gil
511,Sergi López
512,Burt Lancaster
513,Richard Widmark
514,Marisa Berenson
515,Münir Özkul
516,Tarik Akan
517,Roberto Benigni
518,Nicoletta Braschi
519,Giorgio Cantarini
520,Diane Kruger
521,Daniel Day-Lewis
522,Manikandan K.
523,Peter O'Toole
524,Yves Montand
525,Jake Gyllenhaal
526,Brad Garrett
527,Eli Roth
528,Mel Gibson
529,Lee Sun-kyun
530,Mathieu Amalric
531,Sharon Stone
532,Gene Kelly
533,Lou Romano
534,Daniel Brühl
535,Sophie Marceau
536,Cho Yeo-jeong
537,Anthony Quinn
538,Meat Loaf
539,Audrey Tautou
540,Woody Harrelson
541,Ellen Burstyn
542,Daniel Radcliffe
543,Emma Watson
544,Pete Postlethwaite
545,Alison Crosbie
546,Sterling Hayden
547,Charles Vanel
548,Mathieu Kassovitz
549,Donald O'Connor
550,Jared Leto
551,Olivia Wilde
552,Sam Rockwell
553,François Cluzet
554,Omar Sy
555,Anne Le Ny
556,Ray Milland
557,Robert Cummings
558,Linda Blair
559,Robert Sean Leonard
560,Ulrich Mühe
561,Martina Gedeck
562,Sebastian Koch
563,Gene Hackman
564,Zain Al Rafeea
565,Yordanos Shiferaw
566,Boluwatife Treasure Bankole
567,Adrien Brody
568,Thomas Kretschmann
569,Carole Lombard
570,Frank Finlay
571,Jack Benny
572,Robert Stack
573,Rosamund Pike
574,Neil Patrick Harris
575,Akira Ishihama
576,Shima Iwashita
577,Rutger Hauer
578,Sean Young
579,Charlize Theron
580,Nicholas Hoult
581,Val Kilmer
582,Matthew Broderick
583,Jeremy Irons
584,James Earl Jones
