movie_id,actor_id
13,131
13,132
13,133
25,251
25,252
25,253
3,31
3,32
3,33
27,271
27,272
8,81
27,273
8,82
8,83
6,61
23,231
6,62
24,241
16,161
23,232
6,63
17,171
24,242
16,162
23,233
18,181
5,51
17,172
28,281
24,243
33,331
16,163
36,361
4,41
18,182
44,441
5,52
37,371
17,173
28,282
39,391
33,332
32,321
2,21
49,491
42,421
36,362
41,411
4,42
26,261
18,183
15,151
44,442
35,351
29,291
5,53
46,461
37,372
21,211
40,401
28,283
22,221
45,451
39,392
38,381
33,333
11,111
32,322
20,201
2,22
12,121
49,492
1,11
42,422
47,471
36,363
48,481
41,412
19,191
4,43
9,91
30,301
26,262
31,311
43,431
15,152
50,501
44,443
10,101
35,352
14,141
7,71
29,292
34,341
46,462
37,373
21,212
40,402
22,222
45,452
39,393
38,382
11,112
32,323
20,202
2,23
12,122
49,493
1,12
42,423
47,472
48,482
41,413
19,192
9,92
30,302
26,263
31,312
43,432
15,153
50,502
10,102
35,353
14,142
7,72
29,293
34,342
46,463
21,213
40,403
22,223
45,453
38,383
11,113
20,203
12,123
1,13
47,473
48,483
19,193
9,93
30,303
31,313
43,433
50,503
10,103
14,143
7,73
34,343
