id,imdb_id,title,year,rating,duration_minutes,metascore
1,tt0116282,Фарґо,1996,8.1,98,88
2,tt0073486,One Flew Over the Cuckoo's Nest,1975,8.7,133,84
3,tt0022100,M,1931,8.3,117,
4,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,58
5,tt1187043,3 Idiots,2009,8.4,170,67
6,tt0114814,Suspecți de serviciu,1995,8.5,106,76
7,tt0032553,Ο μεγάλος δικτάτωρ,1940,8.4,125,
8,tt10872600,Omul-Păianjen: Niciun drum spre casă,2021,8.2,148,71
9,tt0364569,Oldboy,2003,8.3,120,78
10,tt0208092,Snatch,2000,8.2,104,55
11,tt0129167,The Iron Giant,1999,8.1,86,85
12,tt0245429,Spirited Away: W krainie bogów,2001,8.6,124,96
13,tt0055630,Straż przyboczna,1961,8.2,110,93
14,tt0050825,Cărările gloriei,1957,8.4,88,90
15,tt0816692,Interstellar,2014,8.7,169,74
16,tt8267604,Capharnaüm,2018,8.4,126,75
17,tt0346336,Kagayakeru Seishun,2003,8.5,374,89
18,tt0043014,Sunset Blvd.,1950,8.4,110,94
19,tt4016934,Người Hầu Gái,2016,8.1,145,85
20,tt26548265,Maharaja,2024,8.4,141,
21,tt0482571,The Prestige,2006,8.5,130,66
22,tt1305806,El secreto de sus ojos,2009,8.2,129,80
23,tt0042876,Rashômon,1950,8.1,88,98
24,tt0892769,How to Train Your Dragon,2010,8.1,98,75
25,tt5074352,Dangal,2016,8.3,161,
26,tt0027977,Thời Đại Tân Kỳ,1936,8.5,87,96
27,tt0050212,Міст через річку Квай,1957,8.1,161,88
28,tt1375666,Inception,2010,8.8,148,74
29,tt0031381,Gone with the Wind,1939,8.2,238,97
30,tt0074958,Network,1976,8.1,121,83
31,tt0060196,"The Good, the Bad and the Ugly",1966,8.8,161,90
32,tt0109830,Forrest Gump,1994,8.8,142,82
33,tt0114369,Se7en,1995,8.6,127,65
34,tt2106476,Vânătoarea,2012,8.3,115,77
35,tt0088247,The Terminator,1984,8.1,107,84
36,tt0089881,Ran,1985,8.2,160,97
37,tt0266697,Kill Bill - Vol. 1,2003,8.2,111,69
38,tt4633694,Spider-Man: Een nieuw universum,2018,8.4,117,87
39,tt0137523,Fight Club,1999,8.8,139,67
40,tt9362722,Spider-Man: Across the Spider-Verse,2023,8.5,140,86
41,tt1130884,Shutter Island,2010,8.2,138,63
42,tt8579674,1917,2019,8.2,119,78
43,tt0112573,Braveheart,1995,8.3,178,68
44,tt0036868,Die besten Jahre unseres Lebens,1946,8.1,170,93
45,tt0347149,Das wandelnde Schloss,2004,8.2,119,82
46,tt8503618,Hamilton,2020,8.3,160,88
47,tt0080678,The Elephant Man,1980,8.2,124,78
48,tt0338013,Vergiss mein nicht,2004,8.3,108,89
49,tt0050083,Die zwölf Geschworenen,1957,9.0,96,97
50,tt1954470,Asian Godfather - Die Gangs von Wasseypur,2012,8.2,321,89
51,tt0055031,Urteil von Nürnberg,1961,8.3,179,60
52,tt0071853,Die Ritter der Kokosnuß,1975,8.2,91,91
53,tt0015324,Sherlock Jr.,1924,8.1,45,
54,tt0910970,WALL·E - Der Letzte räumt die Erde auf,2008,8.4,98,95
55,tt5311514,Your Name.,2016,8.4,106,81
56,tt0095327,Hotaru no haka,1988,8.5,88,94
57,tt0077416,Die durch die Hölle gehen,1978,8.1,183,90
58,tt0111161,Die Verurteilten,1994,9.3,142,82
59,tt0107048,Und täglich grüßt das Murmeltier,1993,8.0,101,72
60,tt0405159,Million Dollar Baby,2004,8.1,132,86
61,tt0091763,Platoon,1986,8.1,120,92
62,tt0405094,Das Leben der Anderen,2006,8.4,137,89
63,tt0372784,Batman Begins,2005,8.2,140,70
64,tt0073195,Tubarão,1975,8.1,124,87
65,tt1454029,The Help,2011,8.1,146,62
66,tt0017925,Der General,1926,8.1,78,
67,tt6966692,Green Book,2018,8.2,130,69
68,tt0045152,Du sollst mein Glücksstern sein,1952,8.3,103,99
69,tt0054215,Psycho,1960,8.5,109,97
70,tt0064116,Thưở Ấy Miền Viễn Tây,1968,8.5,166,82
71,tt0032138,The Wizard of Oz,1939,8.1,102,92
72,tt0986264,Taare Zameen Par: Ein Stern auf Erden,2007,8.3,162,
73,tt4154796,Avengers: Endgame,2019,8.4,181,78
74,tt0169547,American Beauty,1999,8.3,122,84
75,tt0266543,Đi Tìm Nemo,2003,8.2,100,90
76,tt1049413,Oben,2009,8.3,96,88
77,tt0044741,Ikiru,1952,8.3,143,92
78,tt0978762,"Mary & Max oder: Schrumpfen Schafe, wenn es regnet?",2009,8.1,92,72
79,tt0107290,Jurassic Park,1993,8.2,127,68
80,tt0407887,Departed: Unter Feinden,2006,8.5,151,85
81,tt0066921,A Clockwork Orange,1971,8.2,136,77
82,tt0434409,Chiến Binh Tự Do,2005,8.1,132,62
83,tt0071562,Der Pate 2,1974,9.0,202,90
84,tt0110912,Pulp Fiction,1994,8.8,154,95
85,tt0087843,Es war einmal in Amerika,1984,8.3,229,75
86,tt4729430,Klaus,2019,8.2,96,65
87,tt0082096,Das Boot,1981,8.4,149,85
88,tt0083658,Der Blade Runner,1982,8.1,117,84
89,tt15097216,Jai Bhim,2021,8.6,164,
90,tt0253474,The Pianist,2002,8.5,150,85
91,tt0047478,Die sieben Samurai,1954,8.6,207,98
92,tt0119698,Prinzessin Mononoke,1997,8.3,133,78
93,tt0075148,Rokki,1976,8.1,120,70
94,tt0092005,Stand by Me: Das Geheimnis eines Sommers,1986,8.1,89,75
95,tt0070047,"Той, що виганяє диявола",1973,8.1,122,83
96,tt0059742,"Meine Lieder, meine Träume",1965,8.1,172,63
97,tt0057115,The Great Escape,1963,8.2,172,86
98,tt23849204,12th Fail,2023,8.7,147,
99,tt0059578,Per qualche dollaro in più,1965,8.2,132,74
100,tt0118799,Hayot go'zal,1997,8.6,116,58
101,tt0040897,The Treasure of the Sierra Madre,1948,8.2,126,98
102,tt0112471,Before Sunrise,1995,8.1,101,79
103,tt1392190,Mad Max: Fury Road,2015,8.1,120,90
104,tt0382932,Ratatouille,2007,8.1,111,96
105,tt0198781,Công Ty Quái Vật,2001,8.1,92,79
106,tt1255953,Incendies,2010,8.3,131,80
107,tt0108052,Bản Danh Sách Của Schindler,1993,9.0,195,95
108,tt2278388,Khách Sạn Đế Vương,2014,8.1,99,88
109,tt0040522,Ladri di biciclette,1948,8.2,89,
110,tt0056058,Harakiri,1962,8.6,133,85
111,tt0081505,Ngôi Nhà Ma,1980,8.4,146,68
112,tt11032374,Demon Slayer: Kimetsu No Yaiba- the Movie - Mugen Train,2020,8.2,117,72
113,tt0042192,Alles über Eva,1950,8.2,138,98
114,tt0088763,Back to the Future,1985,8.5,116,87
115,tt0105236,Reservoir Dogs - Wilde Hunde,1992,8.3,99,81
116,tt0038650,It's a Wonderful Life,1946,8.6,130,89
117,tt0118849,Kinder des Himmels,1997,8.2,89,77
118,tt0435761,Toy Story 3,2010,8.3,103,92
119,tt1028532,Hachiko - Eine wunderbare Freundschaft,2009,8.1,93,
120,tt0035446,To Be or Not to Be,1942,8.1,99,86
121,tt0090605,Aliens: Die Rückkehr,1986,8.4,137,84
122,tt0046912,Bei Anruf Mord,1954,8.2,105,75
123,tt0120689,The Green Mile,1999,8.6,189,61
124,tt0363163,Ngày Tàn Của Hitler,2004,8.2,156,82
125,tt0107207,Im Namen des Vaters,1993,8.1,133,84
126,tt0468569,The Dark Knight,2008,9.1,152,85
127,tt0095765,Cinema Paradiso,1988,8.5,174,80
128,tt0058946,Cuộc Chiến Giành Độc Lập,1966,8.1,121,96
129,tt0062622,2001: Chuyến Du Hành Không Gian,1968,8.3,149,84
130,tt0120382,Truman Show,1998,8.2,103,90
131,tt0052357,Vertigo: Aus dem Reich der Toten,1958,8.2,128,100
132,tt0046268,The Wages of Fear,1953,8.1,156,85
133,tt1745960,Top Gun: Maverick,2022,8.2,130,78
134,tt0084787,Quái Vật Biến Hình,1982,8.2,109,57
135,tt0032551,The Grapes of Wrath,1940,8.1,129,96
136,tt0057565,Tengoku to jigoku,1963,8.4,143,90
137,tt4154756,Avengers: Infinity War,2018,8.4,149,68
138,tt7286456,Joker,2019,8.3,122,59
139,tt0110413,Léon: Der Profi,1994,8.5,110,64
140,tt0317705,The Incredibles,2004,8.0,115,90
141,tt0113277,Kỳ Phùng Địch Thủ,1995,8.3,170,76
142,tt0120735,"Lock, Stock and Two Smoking Barrels",1998,8.1,107,67
143,tt2582802,Whiplash,2014,8.5,106,89
144,tt0086250,Scarface,1983,8.3,170,65
145,tt4430212,Drishyam,2015,8.2,163,
146,tt0096283,Mein Nachbar Totoro,1988,8.1,86,87
147,tt0075314,Tài Xế Taxi,1976,8.2,114,94
148,tt0167261,Der Herr der Ringe: Die zwei Türme,2002,8.8,179,87
149,tt0086879,Amadeus,1984,8.4,160,87
150,tt3011894,Relatos salvajes,2014,8.1,122,77
151,tt5323662,A Silent Voice,2016,8.1,130,78
152,tt0057012,S.O.S. Πεντάγωνο καλεί Μόσχα,1964,8.3,95,97
153,tt15398776,Oppenheimer,2023,8.3,180,90
154,tt0268978,A Beautiful Mind: Genie und Wahnsinn,2001,8.2,135,72
155,tt1853728,Django Tsunagarezaru Mono,2012,8.5,165,81
156,tt1345836,The Dark Knight Rises,2012,8.4,164,78
157,tt0097576,Indiana Jones and the Last Crusade,1989,8.2,127,65
158,tt0050986,Wild Strawberries,1957,8.1,92,88
159,tt0041959,Der dritte Mann,1949,8.1,104,97
160,tt2024544,12 Years a Slave,2013,8.1,134,96
161,tt0053125,Bắc Tây Bắc,1959,8.3,136,98
162,tt0036775,Frau ohne Gewissen,1944,8.3,107,95
163,tt1950186,Ford v Ferrari,2019,8.1,152,81
164,tt0117951,Trainspotting,1996,8.1,93,83
165,tt0476735,My Father and My Son,2005,8.2,112,
166,tt0119217,Good Will Hunting: Der gute Will Hunting,1997,8.3,126,71
167,tt0019254,Bài Ca Khổ Hình Của Joan of Arc,1928,8.1,110,98
168,tt0112641,Casino,1995,8.2,178,73
169,tt0047296,Die Faust im Nacken,1954,8.1,108,91
170,tt0381681,Before Sunset,2004,8.1,80,91
171,tt0017136,Metropolis,1927,8.3,153,98
172,tt0120737,Der Herr der Ringe: Die Gefährten,2001,8.9,178,92
173,tt0099685,GoodFellas - Drei Jahrzehnte in der Mafia,1990,8.7,145,92
174,tt1205489,Ngọt Và Đắng,2008,8.1,116,73
175,tt0317248,City of God,2002,8.6,130,79
176,tt0993846,The Wolf of Wall Street,2013,8.2,180,75
177,tt0051201,Zeugin der Anklage,1957,8.4,116,76
178,tt0118715,Didysis Lebovskis,1998,8.1,117,71
179,tt0052618,Ben Hur,1959,8.1,212,90
180,tt2119532,Người Hùng Không Súng,2016,8.1,139,71
181,tt0076759,Star Wars: Episode IV - Eine neue Hoffnung,1977,8.6,121,90
182,tt0361748,Inglourious Basterds,2009,8.4,153,69
183,tt0071315,Chinatown,1974,8.1,130,92
184,tt0353969,Memories of Murder,2003,8.1,131,82
185,tt0031679,Mr. Smith Goes to Washington,1939,8.1,129,73
186,tt0082971,Os Salteadores da Arca Perdida,1981,8.4,115,86
187,tt0093058,Full Metal Jacket,1987,8.2,116,78
188,tt0021749,Lichter der Großstadt,1931,8.5,87,99
189,tt0078788,Апокаліпсис наших днів,1979,8.4,147,94
190,tt1979320,Rush - Alles für den Sieg,2013,8.1,123,74
191,tt0167260,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,2003,9.0,201,94
192,tt0477348,No Country for Old Men,2007,8.2,122,92
193,tt0395169,Hotel Rwanda,2004,8.1,121,79
194,tt0113247,La haine,1995,8.1,98,
195,tt0068646,Bố Già,1972,9.2,175,100
196,tt0103064,Terminatorul 2: Ziua judecății,1991,8.6,137,75
197,tt0209144,Unutma,2000,8.4,113,83
198,tt0097165,Dead Poets Society,1989,8.1,128,79
199,tt0469494,There Will Be Blood,2007,8.2,158,93
200,tt0078748,Alien: Das unheimliche Wesen aus einer fremden Welt,1979,8.5,117,89
201,tt0095016,Stirb langsam,1988,8.2,132,72
202,tt0102926,The Silence of the Lambs,1991,8.6,118,86
203,tt0119488,Bí Mật Los Angeles,1997,8.2,138,91
204,tt0053291,Manche mögen's heiß,1959,8.2,121,98
205,tt2267998,Gone Girl,2014,8.1,149,79
206,tt15239678,Dune: Part Two,2024,8.5,166,79
207,tt0047396,Rear Window,1954,8.5,112,100
208,tt0325980,Fluch der Karibik,2003,8.1,143,63
209,tt0211915,Die fabelhafte Welt der Amelie,2001,8.3,122,70
